session_id,timestamp,animal_shown,animal_selected,is_correct,response_time_ms,attempt_number,total_score,game_duration_sec,has_hearing_disability
session_1764344510092_qo4hav1vy,2025-11-28T21:13:37.503574,cow,cow,True,2472,0,0,8.543,False
session_1764344510092_qo4hav1vy,2025-11-28T21:13:48.857815,lion,lion,True,2892,1,1,19.917,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:01.607469,cow,cow,True,3791,2,2,32.666,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:09.141575,lion,lion,True,3181,3,3,40.453,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:16.291895,cow,cow,True,3542,4,4,47.353,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:23.942067,lion,lion,True,2943,5,5,54.986,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:33.524106,cow,cow,True,3011,6,6,64.569,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:38.925743,dog,dog,True,2969,7,7,70.237,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:45.858863,dog,dog,True,2925,8,8,76.901,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:52.476654,cat,cat,True,2775,9,9,83.534,False
session_1764344510092_qo4hav1vy,2025-11-28T21:14:58.959239,lion,lion,True,2907,10,10,90.268,False
session_1764344510092_qo4hav1vy,2025-11-28T21:19:21.378803,cow,cow,True,5044,11,11,352.424,False
session_1764344510092_qo4hav1vy,2025-11-28T21:19:32.230414,dog,dog,True,3793,12,12,363.289,False
session_1764344510092_qo4hav1vy,2025-11-28T21:19:41.450411,dog,dog,True,3553,13,13,372.771,False
session_1764344510092_qo4hav1vy,2025-11-28T21:19:50.846900,lion,lion,True,4790,14,14,381.908,False
session_1764344510092_qo4hav1vy,2025-11-28T21:46:33.147118,cow,cat,False,6283,15,15,1984.215,True
session_1764344510092_qo4hav1vy,2025-11-28T21:46:44.772430,cow,cat,False,5029,16,15,1996.083,False
